manufacturer,model name,category,screen size,cpu,ram(GB),gpu,operating system,operating system version,weight(kg),price,resolution,screen_type,touchscreen,cpu_freq(GHz),storage_1_gb,storage_1_type,storage_2_gb,storage_2_type,cpu_brand,gpu_brand
Lenovo,Yoga 900S-12ISK,Ultrabook,"12.5""",Intel Core M 6Y75 ,8.0,Intel HD Graphics 515,Windows,10,0.99,12439908.0,2560x1440,IPSPanel,1.0,1.2,512.0,SSD,0.0,NaN,Intel,Intel
HP,Pavilion 15-AW003nv,Notebook,"15.6""",AMD A9-Series 9410 ,6.0,AMD Radeon R7 M440,Windows,10,2.04,4890511.08,1920x1080,,0.0,2.9,1000.0,Hybrid,0.0,NaN,AMD,AMD
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,"14.0""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,1.74,5593068.0,1920x1080,IPSPanel,1.0,2.4,256.0,SSD,0.0,NaN,Intel,Intel
HP,255 G6,Notebook,"15.6""",AMD A6-Series 9220 ,4.0,AMD Radeon R4 Graphics,Windows,10,1.86,3543373.08,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,AMD,AMD
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,"13.9""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.38,9594468.0,1920x1080,IPSPanel,1.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",Intel Core i5 7300HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.5,7371468.0,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Nvidia
Acer,Aspire E5-475,Notebook,"14.0""",Intel Core i3 6006U ,8.0,Intel HD Graphics 520,Windows,10,2.1,3458988.0,1366x768,,0.0,2.0,1000.0,HDD,0.0,NaN,Intel,Intel
Acer,Aspire E5-576G,Notebook,"15.6""",Intel Core i5 7200U ,4.0,Nvidia GeForce 940MX,Windows,10,2.23,6144372.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Nvidia
Asus,VivoBook E201NA,Netbook,"11.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,Windows,10 S,1.2,3023280.0,1366x768,,0.0,1.1,64.0,FlashStorage,0.0,NaN,Intel,Intel
Google,Pixelbook (Core,Ultrabook,"12.3""",Intel Core i7 7Y75 ,16.0,Intel HD Graphics 615,Chrome OS,,1.1,19553508.0,2400x1600,,1.0,1.3,512.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 7570,Notebook,"15.6""",Intel Core i7 8550U ,8.0,Nvidia GeForce 940MX,Windows,10,2.16,10050894.36,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
HP,Probook 430,Notebook,"13.3""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.49,8536320.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Vostro 3568,Notebook,"15.6""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,2.18,5216047.2,1366x768,,0.0,2.4,1000.0,HDD,0.0,NaN,Intel,Intel
Lenovo,Thinkpad P51s,Workstation,"15.6""",Intel Core i7 7600U ,16.0,Nvidia Quadro M520M,Windows,10,2.5,29334708.0,3840x2160,IPSPanel,0.0,2.8,1000.0,SSD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i7 7500U ,16.0,AMD Radeon R7 M445,Windows,10,2.3,7638316.92,1920x1080,,1.0,2.7,1000.0,HDD,0.0,NaN,Intel,AMD
Asus,X541NA-GO020T (N3350/4GB/1TB/W10),Notebook,"15.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,Windows,10,2.0,3014388.0,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 500-15ISK,Notebook,"15.6""",Intel Core i7 6500U ,16.0,AMD Radeon R7 M360,Windows,10,2.5,9772308.0,1920x1080,,0.0,2.5,1000.0,Hybrid,0.0,NaN,Intel,AMD
Xiaomi,Mi Notebook,Notebook,"15.6""",Intel Core i5 8250U ,8.0,Nvidia GeForce MX150,No OS,,1.95,10661508.0,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 3576,Notebook,"15.6""",Intel Core i7 8550U ,8.0,AMD Radeon 520,Linux,,2.14,6536242.44,1920x1080,,0.0,1.8,256.0,SSD,0.0,NaN,Intel,AMD
Asus,Rog GL753VD-GC082T,Gaming,"17.3""",Intel Core i5 7300HQ ,12.0,Nvidia GeForce GTX 1050,Windows,10,2.2,12181150.8,1920x1080,,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,EliteBook 840,Notebook,"14.0""",Intel Core i5 6200U ,4.0,Intel HD Graphics 520,Windows,10,1.54,8892000.0,1920x1080,,0.0,2.3,500.0,HDD,0.0,NaN,Intel,Intel
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.5,8883108.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,Windows,10,2.2,2720952.0,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Intel
Dell,Latitude E5270,Ultrabook,"12.5""",Intel Core i3 6100U ,4.0,Intel HD Graphics 520,Windows,7,1.5,10093753.8,1366x768,,0.0,2.3,500.0,HDD,0.0,NaN,Intel,Intel
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,"15.6""",Intel Core i3 7100U ,8.0,Nvidia GeForce 940MX,Linux,,2.3,5308524.0,1920x1080,,0.0,2.4,1000.0,HDD,0.0,NaN,Intel,Nvidia
HP,EliteBook 850,Notebook,"15.6""",Intel Core i5 6200U ,8.0,Intel HD Graphics 520,Windows,7,1.88,14040468.0,1920x1080,,0.0,2.3,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62,10305828.0,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Apple,MacBook Pro,Ultrabook,"13.3""",Intel Core i5 ,8.0,Intel Iris Plus Graphics 640,macOS,,1.37,11912523.48,2560x1600,IPSPanelRetinaDisplay,0.0,2.3,128.0,SSD,0.0,NaN,Intel,Intel
HP,EliteBook 820,Netbook,"12.5""",Intel Core i5 6200U ,8.0,Intel HD Graphics 520,Windows,10,1.26,14840748.0,1920x1080,,0.0,2.3,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad P40,2 in 1 Convertible,"14.0""",Intel Core i7 6600U ,8.0,Nvidia Quadro M500M,Windows,7,1.8,18231978.96,1920x1080,IPSPanel,1.0,2.6,512.0,SSD,0.0,NaN,Intel,Nvidia
Lenovo,IdeaPad 320-17IKB,Notebook,"17.3""",Intel Core i7 7500U ,6.0,Nvidia GeForce 940MX,Windows,10,2.8,8438508.0,1600x900,,0.0,2.7,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,"15.6""",Intel Core i7 6500U ,6.0,AMD Radeon R5 M330,Windows,10,2.19,6793488.0,1366x768,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,AMD
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1060,No OS,,2.4,10216908.0,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,"15.6""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Windows,10,1.9,4428216.0,1366x768,,0.0,2.5,128.0,SSD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 320-17ISK,Notebook,"17.3""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,Windows,10,2.8,4348188.0,1600x900,,0.0,2.0,1000.0,HDD,0.0,NaN,Intel,Intel
HP,250 G6,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.86,6135480.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Alienware 15,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1070,Windows,10,3.21,24672009.96,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-15IAP,Notebook,"15.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,No OS,,2.2,2863135.08,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,No OS,,2.2,4881708.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Latitude 7390,Ultrabook,"13.3""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,1.42,16377730.2,1920x1080,,1.0,1.6,256.0,SSD,0.0,NaN,Intel,Intel
Asus,Rog Strix,Gaming,"17.3""",AMD Ryzen 1600 ,8.0,AMD Radeon RX 580,Windows,10,3.2,15071940.0,1920x1080,,0.0,3.2,256.0,SSD,1000.0,HDD,AMD,AMD
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,"15.6""",Intel Core i5 7200U ,8.0,AMD Radeon R5 M430,Windows,10,1.9,7273211.4,1920x1080,,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,AMD
Dell,Precision 3520,Workstation,"15.6""",Intel Core i7 6820HQ ,16.0,Nvidia Quadro M620,Windows,10,2.17,17561700.0,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Nvidia
Toshiba,Satellite Pro,Notebook,"15.6""",Intel Core i5 6200U ,4.0,Intel HD Graphics 520,Windows,10,2.1,6935760.0,1366x768,,0.0,2.3,500.0,HDD,0.0,NaN,Intel,Intel
Dell,Chromebook 11,Netbook,"11.6""",Intel Celeron Dual Core N3060 ,4.0,Intel HD Graphics 400,Chrome OS,,1.26,2623140.0,1366x768,,0.0,1.6,16.0,FlashStorage,0.0,NaN,Intel,Intel
Dell,Inspiron 7560,Notebook,"15.6""",Intel Core i7 7500U ,8.0,Nvidia GeForce 940MX,Windows,10,2.0,10732644.0,1920x1080,,0.0,2.7,128.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,X751SV-TY001T (N3710/4GB/1TB/GeForce,Notebook,"17.3""",Intel Pentium Quad Core N3710 ,4.0,Nvidia GeForce 920MX,Windows,10,2.8,4712760.0,1600x900,,0.0,1.6,1000.0,HDD,0.0,NaN,Intel,Nvidia
MSI,GT72S Dominator,Gaming,"17.3""",Intel Core i7 6820HK ,16.0,Nvidia GeForce GTX 980M,Windows,10,3.78,13743830.88,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,Aspire VX5-591G,Gaming,"15.6""",Intel Core i5 7300HQ ,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,11550708.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Nvidia
Acer,Aspire ES1-572,Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,Linux,,2.4,3217125.6,1366x768,,0.0,2.0,500.0,HDD,0.0,NaN,Intel,Intel
MSI,GS63VR 7RF,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,1.8,18624116.16,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Latitude 5480,Notebook,"14.0""",Intel Core i5 7440HQ ,8.0,Intel HD Graphics 620,Windows,10,1.6,10714860.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,"15.6""",Intel Core i3 7100U ,8.0,Intel HD Graphics 620,Windows,10,2.3,4081428.0,1366x768,,0.0,2.4,1000.0,HDD,0.0,NaN,Intel,Intel
MSI,GS70 Stealth,Gaming,"17.3""",Intel Core i7 6700HQ ,8.0,Nvidia GeForce GTX 965M,Windows,10,2.6,14218308.0,1920x1080,,0.0,2.6,256.0,SSD,0.0,NaN,Intel,Nvidia
HP,Probook 440,Notebook,"14.0""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,1.63,9638928.0,1920x1080,,0.0,1.8,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 110-17ACL,Notebook,"17.3""",AMD A4-Series 7210 ,4.0,AMD Radeon R3,Windows,10,2.8,3370068.0,1600x900,,0.0,2.2,500.0,HDD,0.0,NaN,AMD,AMD
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",Intel Celeron Dual Core N3060 ,2.0,Intel HD Graphics 400,Windows,10,1.42,2214108.0,1366x768,,0.0,1.6,32.0,FlashStorage,0.0,NaN,Intel,Intel
Dell,Inspiron 3552,Notebook,"15.6""",Intel Pentium Quad Core N3700 ,4.0,Intel HD Graphics,Linux,,2.2,3498913.08,1366x768,,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
HP,Elitebook 820,Ultrabook,"12.5""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.26,11870820.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad L470,Notebook,"14.0""",Intel Core i5 6200U ,8.0,Intel HD Graphics 520,Windows,7,2.02,11915280.0,1920x1080,,0.0,2.3,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Thinkpad E570,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,2.3,7380360.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
HP,250 G6,Ultrabook,"15.6""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.84,6686784.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
HP,250 G6,Notebook,"15.6""",Intel Core i5 7200U ,4.0,AMD Radeon 520,Windows,10,1.86,5447328.12,1366x768,,0.0,2.5,500.0,HDD,0.0,NaN,Intel,AMD
MSI,GL72M 7REX,Gaming,"17.3""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,10661508.0,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Toshiba,Portege X30-D-10X,Notebook,"13.3""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Windows,10,1.05,11426220.0,1920x1080,,0.0,2.5,128.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i7 7500U ,16.0,AMD Radeon R7 M445,Linux,,2.36,7993908.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,AMD
Toshiba,Portege Z30-C-16P,Ultrabook,"13.3""",Intel Core i7 6500U ,16.0,Intel HD Graphics 520,Windows,10,1.2,15534324.0,1920x1080,,0.0,2.5,512.0,SSD,0.0,NaN,Intel,Intel
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,"15.6""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,2.05,5317416.0,1366x768,,0.0,2.7,1000.0,HDD,0.0,NaN,Intel,Intel
HP,Elitebook 850,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.84,10172448.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Vostro 5568,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,2.18,7433712.0,1920x1080,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,Intel
HP,Omen 17-W295,Gaming,"17.3""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1050,Windows,10,3.35,12262068.0,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
HP,EliteBook 850,Ultrabook,"15.6""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.84,12350988.0,1920x1080,,0.0,2.7,512.0,SSD,0.0,NaN,Intel,Intel
Dell,Latitude 7480,Ultrabook,"14.0""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.36,14573988.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Acer,Nitro 5,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.7,11203920.0,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,Spin 5,2 in 1 Convertible,"13.3""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,1.5,7531524.0,1920x1080,IPSPanel,1.0,1.6,256.0,SSD,0.0,NaN,Intel,Intel
Acer,Swift 3,Ultrabook,"14.0""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,1.6,6846840.0,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,NaN,Intel,Intel
Acer,Spin SP111-31,2 in 1 Convertible,"11.6""",Intel Celeron Dual Core N3350 ,4.0,Intel HD Graphics 500,Windows,10,1.25,3103308.0,1920x1080,IPSPanel,1.0,2.0,32.0,FlashStorage,0.0,NaN,Intel,Intel
Dell,XPS 13,Ultrabook,"13.3""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,1.2,12439908.0,3200x1800,,1.0,1.8,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad L570,Notebook,"15.6""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Windows,10,2.38,9381060.0,1366x768,,0.0,2.5,500.0,HDD,0.0,NaN,Intel,Intel
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Notebook,"15.6""",Intel Core i5 8250U ,4.0,Intel HD Graphics 620,Windows,10,2.05,6091020.0,1920x1080,,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
HP,15-bs078cl (i7-7500U/8GB/2TB/W10),Notebook,"15.6""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,2.04,5593068.0,1366x768,,0.0,2.7,2000.0,HDD,0.0,NaN,Intel,Intel
Asus,Zenbook 3,Ultrabook,"14.0""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.1,10092420.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,"15.6""",Intel Core i3 7130U ,4.0,Intel HD Graphics 620,Linux,,2.1,3263364.0,1366x768,,0.0,2.7,1000.0,HDD,0.0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i5 7200U ,8.0,AMD Radeon R7 M445,Windows,10,2.36,5680209.6,1920x1080,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,AMD
Acer,Chromebook 14,Notebook,"14.0""",Intel Celeron Dual Core 3855U ,4.0,Intel HD Graphics 510,Chrome OS,,1.45,3334500.0,1366x768,,0.0,1.6,32.0,FlashStorage,0.0,NaN,Intel,Intel
Lenovo,ThinkPad Yoga,Ultrabook,"12.5""",Intel Core i7 6500U ,8.0,Intel HD Graphics 520,Windows,10,1.3,15236353.08,1920x1080,IPSPanel,1.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
HP,ProBook 450,Notebook,"15.6""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,2.1,6273306.0,1920x1080,,0.0,2.4,128.0,SSD,0.0,NaN,Intel,Intel
Asus,Rog Strix,Gaming,"17.3""",AMD Ryzen 1700 ,16.0,AMD Radeon RX 580,Windows,10,3.2,13773708.0,1920x1080,,0.0,3.0,256.0,SSD,1000.0,HDD,AMD,AMD
HP,Envy 13-ad009n,Ultrabook,"13.3""",Intel Core i7 7500U ,8.0,Nvidia GeForce MX150,Windows,10,1.38,9950148.0,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Nvidia
Acer,TravelMate B,Netbook,"11.6""",Intel Celeron Dual Core N3060 ,4.0,Intel HD Graphics 400,Windows,10,1.4,3868020.0,1366x768,,0.0,1.6,128.0,SSD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 110-15ISK,Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,No OS,,2.2,4170348.0,1920x1080,,0.0,2.0,1000.0,HDD,0.0,NaN,Intel,Intel
Asus,UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),Notebook,"14.0""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,2.0,6837948.0,1920x1080,,0.0,2.4,256.0,SSD,0.0,NaN,Intel,Intel
Asus,X553SA-XX021T (N3050/4GB/500GB/W10),Notebook,"15.6""",Intel Celeron Dual Core N3050 ,4.0,Intel HD Graphics,Windows,10,2.2,3281148.0,1366x768,,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
Lenovo,Ideapad 320-15IKBR,Notebook,"15.6""",Intel Core i7 8550U ,12.0,Intel HD Graphics 620,Windows,10,2.2,5415228.0,1366x768,,1.0,1.8,1000.0,HDD,0.0,NaN,Intel,Intel
Asus,ZenBook UX305CA-UBM1,Ultrabook,"13.3""",Intel Core M 6Y30 ,8.0,Intel HD Graphics 515,Windows,10,1.2,6482268.0,1920x1080,IPSPanel,0.0,0.9,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,"15.6""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,2.05,7824960.0,1920x1080,,0.0,1.8,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5578,2 in 1 Convertible,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,2.3,9727848.0,1920x1080,IPSPanel,1.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Huawei,MateBook X,Ultrabook,"13.0""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.05,13329108.0,2160x1440,IPSPanel,0.0,2.7,512.0,SSD,0.0,NaN,Intel,Intel
Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,"15.6""",Intel Core i7 6500U ,4.0,Nvidia GeForce 920M,Windows,10,2.2,6405085.44,1366x768,,0.0,2.5,500.0,HDD,0.0,NaN,Intel,Nvidia
Asus,G752VY-GC162T (i7-6700HQ/16GB/1TB,Gaming,"17.3""",Intel Core i7 6700HQ ,16.0,Nvidia GeForce GTX 980M,Windows,10,4.3,20442708.0,1920x1080,IPSPanel,0.0,2.6,128.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Latitude 5580,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.9,8402940.0,1920x1080,,0.0,2.5,128.0,SSD,0.0,NaN,Intel,Intel
HP,Spectre Pro,2 in 1 Convertible,"13.3""",Intel Core i7 6600U ,8.0,Intel HD Graphics 520,Windows,10,1.48,18148572.0,2560x1440,,1.0,2.6,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,No OS,,2.2,3948048.0,1920x1080,,0.0,2.0,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Thinkpad T460s,Ultrabook,"14.0""",Intel Core i7 6600U ,12.0,Intel HD Graphics 520,Windows,10,1.4,14876316.0,1920x1080,IPSPanel,0.0,2.6,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Precision 3510,Workstation,"15.6""",Intel Core i5 6440HQ ,8.0,AMD FirePro W5130M,Windows,10,2.23,12173148.0,1920x1080,,0.0,2.6,500.0,HDD,0.0,NaN,Intel,AMD
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,"15.6""",AMD A9-Series 9420 ,4.0,AMD Radeon 520,Windows,10,1.91,4437108.0,1920x1080,,0.0,3.0,256.0,SSD,0.0,NaN,AMD,AMD
HP,ZBook 17,Workstation,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia Quadro M2200,Windows,10,3.14,18361090.8,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,Notebook,"15.6""",AMD A10-Series A10-9620P ,6.0,AMD Radeon 530,Windows,10,1.91,5058658.8,1920x1080,IPSPanel,0.0,2.5,128.0,SSD,0.0,NaN,AMD,AMD
HP,ZBook Studio,Workstation,"15.6""",Intel Core i7 6700HQ ,8.0,Nvidia Quadro M1000M,Windows,7,2.0,16885908.0,1920x1080,,0.0,2.6,256.0,SSD,0.0,NaN,Intel,Nvidia
HP,Pavilion 15-CK000nv,Ultrabook,"15.6""",Intel Core i7 8550U ,8.0,Nvidia GeForce GTX 940MX,Windows,10,1.83,6215508.0,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,NaN,Intel,Nvidia
HP,Zbook 15,Workstation,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia Quadro M1200,Windows,10,2.6,15456696.84,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
Asus,Vivobook E200HA,Netbook,"11.6""",Intel Atom x5-Z8350 ,2.0,Intel HD Graphics 400,Windows,10,0.98,1706374.8,1366x768,,0.0,1.44,32.0,FlashStorage,0.0,NaN,Intel,Intel
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,"17.3""",Intel Core i3 6006U ,8.0,Intel HD Graphics 520,Windows,10,2.5,5689990.8,1600x900,,0.0,2.0,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,"13.3""",Intel Core i7 6500U ,16.0,Intel HD Graphics 520,Windows,10,1.3,13329108.0,3200x1800,IPSPanel,1.0,2.5,512.0,SSD,0.0,NaN,Intel,Intel
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,Linux,,2.0,3690180.0,1920x1080,,0.0,2.0,256.0,SSD,0.0,NaN,Intel,Intel
Asus,VivoBook Max,Notebook,"15.6""",Intel Core i5 7200U ,4.0,Nvidia GeForce 920,Linux,,2.1,4614948.0,1920x1080,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,Nvidia
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,"15.6""",AMD A10-Series A10-9620P ,4.0,AMD Radeon R5 M430,Windows,10,2.2,5112900.0,1920x1080,,0.0,2.5,128.0,SSD,1000.0,HDD,AMD,AMD
Lenovo,IdeaPad Y700-15ISK,Notebook,"15.6""",Intel Core i7 6700HQ ,8.0,Nvidia GeForce GTX 960M,Windows,10,2.6,7993908.0,1920x1080,IPSPanel,0.0,2.6,1000.0,HDD,0.0,NaN,Intel,Nvidia
