manufacturer,model name,category,screen size,cpu,ram(GB),gpu,operating system,operating system version,weight(kg),price,resolution,screen_type,touchscreen,cpu_freq(GHz),storage_1_gb,storage_1_type,storage_2_gb,storage_2_type,cpu_brand,gpu_brand
Microsoft,Surface Laptop,Ultrabook,"13.5""",Intel Core M m3-7Y30 ,4.0,Intel HD Graphics 615,Windows,10 S,1.252,8794188.0,2256x1504,,1.0,2.2,128.0,SSD,0.0,NaN,Intel,Intel
HP,ProBook 430,Notebook,"13.3""",Intel Core i5 8250U ,4.0,Intel UHD Graphics 620,Windows,10,1.49,6704568.0,1920x1080,IPSPanel,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,"15.6""",Intel Core i5 7200U ,4.0,AMD Radeon R5 M430,Windows,10,2.25,5326308.0,1366x768,,0.0,2.5,500.0,HDD,0.0,NaN,Intel,AMD
Lenovo,Yoga 500-15ISK,2 in 1 Convertible,"15.6""",Intel Core i5 6200U ,4.0,Intel HD Graphics 520,Windows,10,2.1,7709364.0,1920x1080,IPSPanel,1.0,2.3,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5370,Ultrabook,"13.3""",Intel Core i5 8250U ,4.0,AMD Radeon 530,Windows,10,1.4,7276768.2,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,0.0,NaN,Intel,AMD
Apple,MacBook Pro,Ultrabook,"15.4""",Intel Core i7 ,16.0,Intel Iris Pro Graphics,Mac OS,X,2.04,19028613.24,2880x1800,IPSPanelRetinaDisplay,0.0,2.2,256.0,FlashStorage,0.0,NaN,Intel,Intel
Toshiba,Portege X30-D-10K,Ultrabook,"13.3""",Intel Core i7 7500U ,16.0,Intel HD Graphics 620,Windows,10,1.05,19793592.0,1920x1080,,0.0,2.7,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad P51s,Workstation,"15.6""",Intel Core i7 6500U ,16.0,Nvidia Quadro M520M,Windows,7,2.18,16494660.0,1920x1080,,0.0,2.5,512.0,SSD,0.0,NaN,Intel,Nvidia
HP,15-ba043na (A12-9700P/8GB/2TB/W10),Notebook,"15.6""",AMD A12-Series 9700P ,8.0,AMD Radeon R7 Graphics,Windows,10,2.04,5593068.0,1366x768,,0.0,2.5,2000.0,HDD,0.0,NaN,AMD,AMD
Apple,MacBook Pro,Ultrabook,"15.4""",Intel Core i7 ,16.0,AMD Radeon Pro 560,macOS,,1.83,25413336.0,2880x1800,IPSPanelRetinaDisplay,0.0,2.9,512.0,SSD,0.0,NaN,Intel,AMD
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),Notebook,"15.6""",Intel Celeron Dual Core N3350 ,8.0,Intel HD Graphics 500,Windows,10,2.0,3547908.0,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Intel
HP,EliteBook 820,Ultrabook,"12.5""",Intel Core i7 6500U ,8.0,Intel HD Graphics 520,Windows,10,1.26,11995308.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Latitude E5570,Notebook,"15.6""",Intel Core i5 6200U ,4.0,Intel HD Graphics 520,Linux,,2.09,4656117.96,1366x768,,0.0,2.3,500.0,HDD,0.0,NaN,Intel,Intel
Dell,Inspiron 7567,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62,13320216.0,3840x2160,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,ProBook 450,Notebook,"15.6""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,2.1,7060248.0,1920x1080,,0.0,1.6,1000.0,HDD,0.0,NaN,Intel,Intel
Razer,Blade Pro,Gaming,"17.3""",Intel Core i7 7820HK ,32.0,Nvidia GeForce GTX 1080,Windows,10,3.49,54232308.0,3840x2160,,1.0,2.9,1000.0,SSD,0.0,NaN,Intel,Nvidia
Asus,Zenbook UX430UA,Ultrabook,"14.0""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.25,9327708.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Lenovo,N42-20 Chromebook,Notebook,"14.0""",Intel Celeron Quad Core N3160 ,4.0,Intel HD Graphics 400,Chrome OS,,1.5,2889900.0,1366x768,,0.0,1.6,16.0,FlashStorage,0.0,NaN,Intel,Intel
HP,EliteBook 850,Ultrabook,"15.6""",Intel Core i7 6500U ,8.0,Intel HD Graphics 520,Windows,7,1.88,19310934.24,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,"17.3""",Intel Core i5 7200U ,8.0,Nvidia GeForce GTX 950M,Windows,10,2.69,7922772.0,1920x1080,,0.0,2.5,256.0,SSD,500.0,HDD,Intel,Nvidia
HP,EliteBook 840,Ultrabook,"14.0""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.48,18575388.0,1920x1080,,0.0,2.7,512.0,SSD,0.0,NaN,Intel,Intel
MSI,GE73VR 7RE,Gaming,"17.3""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,2.8,16805880.0,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,"15.6""",Intel Core i7 7500U ,12.0,Nvidia GeForce 940MX,Windows,10,2.3,7460388.0,1920x1080,,1.0,2.7,2000.0,HDD,0.0,NaN,Intel,Nvidia
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Intel Core i7 6500U ,8.0,Intel HD Graphics 520,Windows,10,1.27,20798388.0,2560x1440,IPSPanel,1.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Toshiba,Satellite Pro,Notebook,"15.6""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,2.0,5948748.0,1366x768,,0.0,2.4,500.0,HDD,0.0,NaN,Intel,Intel
Dell,Inspiron 3552,Notebook,"15.6""",Intel Pentium Quad Core N3710 ,4.0,Intel HD Graphics,Linux,,2.2,2881008.0,1366x768,,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 310-15ABR,Notebook,"15.6""",AMD A10-Series 9600P ,6.0,AMD Radeon R5 430,Windows,10,2.4,4437108.0,1920x1080,,0.0,2.4,1000.0,HDD,0.0,NaN,AMD,AMD
Dell,XPS 15,Notebook,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.0,16183440.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
HP,EliteBook 850,Notebook,"15.6""",Intel Core i5 7300U ,8.0,AMD Radeon R7 M465,Windows,10,1.84,11995308.0,1920x1080,,0.0,2.6,256.0,SSD,0.0,NaN,Intel,AMD
Asus,ZenBook UX305CA-UBM1,Ultrabook,"13.3""",Intel Core M 6Y30 ,8.0,Intel HD Graphics 515,Windows,10,1.2,6482268.0,1920x1080,IPSPanel,0.0,0.9,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 720S-13IKB,Notebook,"13.3""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.1,8883108.0,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i7 7500U ,8.0,AMD Radeon R7 M445,Windows,10,2.33,7993908.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,AMD
HP,ProBook 430,Notebook,"13.3""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,1.49,9807876.0,1920x1080,,0.0,1.8,512.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,"15.6""",Intel Core i3 6006U ,4.0,AMD Radeon R5 M430,Linux,,2.2,4312620.0,1920x1080,,0.0,2.0,256.0,SSD,0.0,NaN,Intel,AMD
Lenovo,Legion Y720-15IKB,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,3.2,15552108.0,1920x1080,IPSPanel,0.0,2.8,512.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,Thinkpad T460,Ultrabook,"14.0""",Intel Core i7 6600U ,8.0,Intel HD Graphics 520,Windows,10,1.7,13240099.08,1920x1080,IPSPanel,0.0,2.6,256.0,SSD,0.0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,"15.6""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Windows,10,2.1,5326308.0,1366x768,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
HP,Envy 13-AB002nv,Ultrabook,"13.3""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.34,11764116.0,1920x1080,IPSPanel,0.0,2.7,512.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5378,2 in 1 Convertible,"13.3""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.68,7904988.0,1920x1080,,1.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
